skill_id,skill_name,skill_group,appearance_in_description,appearance_in_skill
2064,Microsoft SQL Server,Quantitative/Analytics,0,1
2065,Return to Work Programs,Other,1,1
2066,Service Levels,Other,1,1
2067,Service-Level Agreements (SLA),Other,0,1
2069,Audio Recording,Graphic Design/Visual,0,1
2070,Camtasia,Graphic Design/Visual,1,1
2074,Editing Software,Graphic Design/Visual,3,1
2077,Tutorials,Communication,2,1
2088,Sales Promotion,Sales,7,2
2090,Accounting,Quantitative/Analytics,37,1
2091,Budgeting,Quantitative/Analytics,17,4
2092,Build Strong Relationships,Communication,10,1
2093,Building Performance,Strategy/Planning/Management,0,1
2094,Concept Development,Strategy/Planning/Management,2,1
2099,Client Liaison,Communication,0,1
2104,Recognition Programs,Other,8,1
2107,Training Management,Strategy/Planning/Management,0,1
2119,Anti-Money Laundering,Other,1,1
2121,Evasion,Other,1,1
2122,KYC Verification,Other,0,1
2136,Client Accounts,Communication,8,1
2139,Market Share,Quantitative/Analytics,21,1
2141,Partner Relationship Management,Strategy/Planning/Management,0,1
2144,Business Management,Strategy/Planning/Management,15,1
2145,Business Process Improvement,Strategy/Planning/Management,1,1
2147,Management Consulting,Strategy/Planning/Management,1,1
2153,Communications Strategy,Communication,8,1
2171,Troubleshooting,Strategy/Planning/Management,10,1
2191,Trusting Relationships,Communication,7,1
2205,Travel Management,Strategy/Planning/Management,0,1
2206,Travel Planning,Strategy/Planning/Management,0,1
2207,Advertising Campaigns,Strategy/Planning/Management,15,1
2222,Event Production,Strategy/Planning/Management,1,1
2226,Vendor Management,Strategy/Planning/Management,9,1
2230,Audio Conferencing,Graphic Design/Visual,0,1
2235,Outdoor Advertising,Sales,10,1
2236,Negotiations,Sales,,
2237,Mobile App Development,Technology,,
2238,Data Visualization,Graphic Design/Visual,,
