skill_id,skill_name,skill_group,appearance_in_description,appearance_in_skill
290,Yext,Social Media/Digital,2,1
293,Cyber Risk Management,Social Media/Digital,1,1
294,Data Cleaning,Quantitative/Analytics,0,1
295,Data Entry,Quantitative/Analytics,22,6
296,Data Integrity,Quantitative/Analytics,6,1
297,Deduplication,Quantitative/Analytics,1,1
298,Maturity Assessments,Quantitative/Analytics,1,1
299,Online Data Entry,Quantitative/Analytics,0,3
301,Attendee Registration,Strategy/Planning/Management,0,1
302,Event Management,Strategy/Planning/Management,5,3
305,Klaviyo,Social Media/Digital,4,1
309,Marketing Programs,Strategy/Planning/Management,43,3
310,SAP Controlling (CO),Social Media/Digital,0,1
314,Email Marketing,Sales,77,18
319,Social Media Graphic Design,Graphic Design/Visual,0,1
320,Social Media Optimization (SMO),Social Media/Digital,0,5
326,Market Planning,Strategy/Planning/Management,2,9
327,Office Administration,Strategy/Planning/Management,3,4
331,Client Presentation,Sales,2,1
332,Client Rapport,Communication,1,1
333,Customer Satisfaction,Sales,20,8
336,Marketing Automation,Social Media/Digital,38,5
339,Stressful Situations,Other,9,2
340,Website Project Management,Strategy/Planning/Management,1,1
341,Computer Science,Quantitative/Analytics,5,1
342,Data Analytics,Quantitative/Analytics,13,4
343,Data Science,Quantitative/Analytics,3,2
344,Data Visualization,Graphic Design/Visual,2,1
346,Google BigQuery,Quantitative/Analytics,0,1
347,Key Metrics,Quantitative/Analytics,13,4
349,Statistical Modeling,Quantitative/Analytics,0,1
350,Statistics,Quantitative/Analytics,15,1
352,Computer Literacy,Quantitative/Analytics,5,11
353,External Communications,Communication,15,4
357,Critical Thinking,Strategy/Planning/Management,19,6
358,Digital Imaging,Graphic Design/Visual,0,1
361,Microsoft Outlook,Communication,3,3
362,Microsoft Teams,Communication,5,1
363,Newsletters,Content,68,6
364,Print Production,Content,3,1
370,Eloqua,Social Media/Digital,2,1
371,Hockey,Other,2,1
379,Direct Sales,Sales,9,5
380,Retail,Sales,97,5
383,Team Leadership,Strategy/Planning/Management,10,6
384,Team Management,Strategy/Planning/Management,7,2
386,Canva,Graphic Design/Visual,26,1
389,Facebook,Social Media/Digital,64,3
390,Instagram,Social Media/Digital,54,3
395,Snapchat,Social Media/Digital,0,1
398,Service Work,Other,1,1
399,Adobe Experience Manager (AEM),Content,1,1
400,Content Delivery,Content,3,2
401,Digital Content,Content,13,2
406,Marketing Consulting,Strategy/Planning/Management,0,1
408,Web Content Production,Content,0,1
411,Digital Marketing Communications,Social Media/Digital,0,1
412,Digital Media,Social Media/Digital,25,1
414,Media Relations,Communication,13,2
418,Video Production,Graphic Design/Visual,13,2
419,Business Communications,Communication,6,2
420,Campaign Strategies,Strategy/Planning/Management,8,1
426,Positioning (Marketing),Strategy/Planning/Management,0,2
428,Tenacious Work Ethic,Other,0,1
429,Client Relations,Communication,21,6
431,Emerging Trends,Quantitative/Analytics,6,2
432,Google Tag Manager,Social Media/Digital,3,1
433,Photocopiers,Other,1,1
434,Scanning Electron Microscopy (SEM),Other,0,1
438,Website Administration,Social Media/Digital,1,2
440,Business Requirements,Other,4,1
443,Digital Marketing Channels,Social Media/Digital,7,2
447,Member Relations,Communication,2,1
448,Microsoft PowerPoint,Communication,2,4
454,Product Knowledge,Brand,27,6
455,Promotional Marketing,Sales,9,2
458,Skilled Multi-tasker,Other,0,10
459,Account Reconciliation,Social Media/Digital,2,1
460,Accounts Payable (AP),Other,0,1
461,Accounts Receivable (AR),Other,0,1
464,File Systems,Strategy/Planning/Management,0,2
465,Microsoft Publisher,Social Media/Digital,0,1
467,Payroll Administration,Other,0,2
468,Phone Etiquette,Communication,2,8
478,Vendor Contracts,Strategy/Planning/Management,2,1
480,Business Planning,Strategy/Planning/Management,1,3
482,Lead Generation,Strategy/Planning/Management,58,15
491,Community Engagement,Communication,12,3
499,Business Development,Brand,57,3
514,Proposal Coordination,Strategy/Planning/Management,0,1
515,Proposal Management,Strategy/Planning/Management,0,1
516,Proposal Production,Strategy/Planning/Management,3,2
517,Proposal Support,Strategy/Planning/Management,0,1
518,Writing,Content,153,30
532,Customer Relations,Communication,32,6
553,Media Marketing,Social Media/Digital,26,27
554,Microsoft 365,Quantitative/Analytics,0,1
559,Administrative Assistance,Strategy/Planning/Management,1,10
561,Back-End Web Development,Quantitative/Analytics,0,1
564,Editing,Content,90,10
565,HTML,Quantitative/Analytics,36,3
566,Magento,Social Media/Digital,3,1
567,MailChimp,Social Media/Digital,10,1
571,Email Analytics,Quantitative/Analytics,0,2
572,Email Lists,Social Media/Digital,6,2
574,HTML Emails,Quantitative/Analytics,1,1
578,Shopify,Social Media/Digital,7,2
589,Compensation,Other,165,3
590,Compensation & Benefits,Other,6,1
592,Google Analytics,Quantitative/Analytics,75,7
597,Targeted Messaging,Communication,3,1
598,Web Analytics,Quantitative/Analytics,11,6
604,Project Implementation,Strategy/Planning/Management,2,1
606,Request for Proposal (RFP),Strategy/Planning/Management,0,1
607,Unanet,Social Media/Digital,1,1
614,Office Equipment,Other,34,3
615,Sales Operations,Sales,8,5
618,Spreadsheets,Quantitative/Analytics,21,6
620,Coordinating Activities,Strategy/Planning/Management,12,3
621,Exhibitions,Strategy/Planning/Management,7,1
622,Key Opinion Leaders,Strategy/Planning/Management,3,1
626,Marketing Documents,Content,3,1
628,Strategic Marketing,Strategy/Planning/Management,10,4
639,Account Management,Strategy/Planning/Management,23,6
644,Sales Management,Sales,2,1
646,Sales Processes,Sales,2,4
652,Market Requirements Documents,Strategy/Planning/Management,0,1
657,Product Management,Strategy/Planning/Management,19,2
661,Development & implementation of marketing plans,Strategy/Planning/Management,0,1
662,Market Intelligence,Sales,3,1
666,New Hires,Other,7,2
669,Client Correspondence,Communication,1,2
683,Product Demonstration,Strategy/Planning/Management,11,6
690,Customer Engagement,Communication,25,5
691,Customer Relationship Management (CRM),Social Media/Digital,11,5
693,Customer Satisfaction (CSAT),Sales,0,1
700,Business Administration,Strategy/Planning/Management,37,1
701,Content Marketing,Content,34,6
703,Creative Writing,Content,5,2
706,Marketing Copy,Content,5,2
707,Narrative,Content,10,1
711,Customer Communication,Communication,6,1
713,Free Thinking,Content,0,1
716,Project Management,Strategy/Planning/Management,128,9
718,Subject Matter Experts,Brand,12,4
719,Analytics,Quantitative/Analytics,162,37
720,Business Strategy,Strategy/Planning/Management,3,1
728,Sales Execution,Sales,1,1
729,Advertising Project Management,Strategy/Planning/Management,1,1
730,Content Creation,Content,43,10
