State,industry_group,industry_count
PA,"Business and Information Technology",1
PA,"Construction and Real Estate",1
PA,"Education and Training",2
PA,"Food and Beverage",1
PA,"Health and Medical",2
PA,"Human Resources and Staffing",1
PA,Others,1
PA,"Retail and Wholesale",1
PA,"Science and Research",1
Remote,"Business and Information Technology",5
Remote,"Construction and Real Estate",1
Remote,"Health and Medical",3
Remote,"Human Resources and Staffing",3
Remote,Others,2
Remote,"Retail and Wholesale",1
Remote,"Travel and Tourism",10
RI,Manufacturing,2
SC,"Advertising and Marketing",4
SC,"Automotive and Transportation",1
SC,"Construction and Real Estate",1
SC,"Financial Services",1
SC,"Health and Medical",1
SC,"Non-profit and Social Services",1
SC,"Retail and Wholesale",1
SC,"Technology and Telecommunications",1
SC,"Travel and Tourism",1
SD,"Construction and Real Estate",1
TN,"Advertising and Marketing",22
TN,"Automotive and Transportation",1
TN,"Financial Services",1
TN,"Health and Medical",1
TN,"Human Resources and Staffing",5
TN,Manufacturing,1
TN,"Non-profit and Social Services",1
TN,Others,1
TX,"Advertising and Marketing",17
TX,"Architecture and Design",2
TX,"Business and Information Technology",2
TX,"Construction and Real Estate",2
TX,"Education and Training",3
TX,"Entertainment and Recreation",2
TX,"Environmental and Energy",2
TX,"Facilities and Maintenance",1
TX,"Financial Services",4
TX,"Food and Beverage",1
TX,"Government and Public Services",2
TX,"Health and Medical",7
TX,"Human Resources and Staffing",25
TX,"Legal and Law",1
TX,Manufacturing,1
TX,"Non-profit and Social Services",2
TX,Others,1
TX,"Packaging and Containers",1
TX,"Retail and Wholesale",5
TX,"Technology and Telecommunications",1
TX,"Travel and Tourism",5
UT,"Advertising and Marketing",2
UT,"Business and Information Technology",1
UT,"Education and Training",6
UT,"Environmental and Energy",1
UT,"Human Resources and Staffing",1
UT,"Retail and Wholesale",1
VA,"Advertising and Marketing",36
VA,"Architecture and Design",1
VA,"Business and Information Technology",1
VA,"Construction and Real Estate",1
VA,"Financial Services",1
VA,"Health and Medical",5
VA,"Human Resources and Staffing",3
VA,Others,1
VA,"Technology and Telecommunications",7
VA,"Travel and Tourism",2
VT,"Non-profit and Social Services",1
WA,"Advertising and Marketing",8
WA,"Architecture and Design",1
WA,"Business and Information Technology",2
WA,"Construction and Real Estate",1
WA,"Education and Training",1
WA,"Entertainment and Recreation",1
WA,"Health and Medical",2
WA,"Human Resources and Staffing",7
WI,"Advertising and Marketing",2
